                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9243,                 3.8381,                  1.213,                0.04532,                 0.3777,                0.02556,                0.01052,                 2.1402,                 30.908,                 1.4004,             0.00066225,             0.00066225,             0.00066225
                      2,                 1.8688,                 1.5177,                 1.2392,                0.69729,                  0.599,                0.62516,                0.25402,                 1.8891,                 2.0624,                 1.1827,              0.0013223,              0.0013223,              0.0013223
                      3,                 1.8885,                 1.4734,                 1.2121,                 0.7734,                0.66556,                0.69918,                0.24343,                 2.0055,                 1.5453,                 1.2154,              0.0019758,              0.0019758,              0.0019758
                      4,                 1.8781,                 1.4809,                 1.2171,                0.72494,                0.56406,                0.64252,                0.26764,                 1.9275,                 1.5359,                 1.1784,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.7686,                 1.2729,                 1.1847,                0.79248,                0.65447,                0.71644,                0.30835,                 1.8814,                 1.5215,                 1.1688,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.7654,                 1.2566,                 1.1717,                0.87361,                0.70157,                0.80842,                0.37637,                 1.8176,                 1.1853,                 1.1647,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.7301,                 1.1275,                 1.1621,                0.88763,                0.72213,                0.80101,                0.35188,                 1.7794,                 1.1502,                 1.1203,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.7411,                 1.1336,                 1.1507,                0.79215,                0.71048,                0.76358,                0.33363,                 1.8159,                 1.2203,                 1.1463,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.6922,                 1.0898,                 1.1421,                0.87575,                0.77038,                0.83925,                0.38351,                 1.7344,                 1.0569,                 1.1218,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.7062,                 1.0522,                 1.1358,                0.92781,                0.74542,                0.85184,                0.40205,                 1.7577,                 1.0196,                 1.1306,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.6739,                 1.0475,                 1.1322,                0.74006,                0.56845,                0.63181,                0.27004,                 1.8561,                 1.6694,                 1.1468,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.6442,                0.94498,                  1.135,                0.88142,                0.81864,                0.86196,                0.40756,                 1.7611,                 1.0057,                 1.1217,               0.001901,               0.001901,               0.001901
                     13,                 1.6825,                0.99493,                 1.1326,                0.89516,                 0.8203,                0.88581,                0.43235,                 1.7238,                0.95459,                 1.1142,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.6111,                0.95699,                 1.1106,                0.89993,                0.75208,                0.85522,                0.41671,                  1.723,                 1.0054,                 1.1098,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.6291,                0.94849,                 1.1235,                0.94884,                0.83319,                0.91685,                0.43773,                  1.679,                0.86309,                 1.1023,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.6135,                0.90849,                 1.1184,                0.85977,                0.80366,                0.86926,                0.40314,                 1.7009,                 1.1679,                 1.1136,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.6202,                 0.9245,                 1.1099,                0.92108,                0.83694,                0.90238,                0.42921,                 1.6911,                0.84679,                 1.1036,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.5954,                0.87822,                 1.1054,                0.89307,                0.80033,                0.87594,                0.41709,                 1.7255,                0.89624,                 1.1119,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.5979,                0.88819,                 1.1081,                0.93017,                0.84223,                0.92276,                0.43272,                 1.7153,                0.90806,                 1.1138,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.5745,                0.87849,                 1.1033,                0.94218,                0.81364,                0.89738,                0.44096,                 1.6752,                0.87774,                 1.0913,              0.0018218,              0.0018218,              0.0018218
                     21,                  1.568,                0.83224,                 1.0945,                0.91768,                0.85191,                0.91447,                0.43602,                 1.6923,                0.83489,                 1.0978,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.5678,                0.81913,                 1.0918,                0.91704,                0.80923,                0.89194,                0.44455,                 1.6909,                0.85712,                 1.1159,               0.001802,               0.001802,               0.001802
                     23,                 1.5791,                 0.8214,                 1.0801,                0.94506,                0.84193,                0.91378,                0.44325,                 1.6798,                0.83105,                 1.1075,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.5503,                0.82344,                 1.0794,                0.90398,                0.85857,                0.90387,                0.42714,                 1.6647,                0.97924,                 1.1015,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.5488,                0.81297,                 1.0985,                0.89192,                 0.7421,                0.84394,                0.39089,                 1.8033,                 1.1787,                 1.1305,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.5344,                0.78681,                 1.0784,                0.91467,                0.87398,                0.92188,                0.44231,                 1.6754,                0.99026,                 1.0932,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.5315,                0.80004,                 1.0813,                0.90568,                0.85025,                0.90447,                0.44058,                 1.6808,                 1.0564,                 1.1099,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.5364,                0.77112,                 1.0901,                0.93614,                0.85363,                0.92081,                0.44504,                 1.6903,                0.81162,                 1.1046,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.5205,                0.75488,                 1.0855,                0.92951,                0.85568,                0.91896,                0.43567,                  1.693,                0.81158,                 1.1078,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.5136,                0.76101,                 1.0714,                0.93167,                 0.8619,                0.93063,                0.44179,                 1.7127,                0.78518,                 1.1147,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.5004,                0.74871,                 1.0741,                0.90915,                0.84859,                0.88075,                0.38523,                 1.8018,                0.84137,                 1.1328,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.5125,                0.73586,                 1.0792,                0.94464,                0.85174,                0.91629,                0.44768,                 1.6829,                0.81423,                 1.0975,               0.001703,               0.001703,               0.001703
                     33,                 1.5011,                0.72608,                 1.0707,                0.89355,                0.90017,                0.92965,                0.45907,                 1.6701,                0.77136,                 1.0909,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.4945,                0.73076,                 1.0723,                0.93961,                0.88353,                0.95118,                  0.482,                 1.6314,                0.75377,                 1.0868,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.4945,                0.73442,                 1.0656,                0.88084,                0.84869,                0.89156,                0.42466,                 1.7264,                0.83361,                 1.1091,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.4447,                0.70388,                 1.0506,                0.93951,                0.86023,                0.92339,                0.43717,                 1.6711,                0.78462,                 1.0996,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.4702,                0.71613,                 1.0644,                0.92689,                0.86486,                0.93034,                0.47265,                 1.6626,                0.77069,                 1.0944,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.4585,                0.68574,                 1.0649,                 0.9361,                0.84359,                 0.9161,                0.43473,                   1.73,                0.80322,                 1.1155,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.4511,                0.67979,                  1.049,                0.93313,                0.90548,                0.93305,                0.46472,                 1.6437,                0.75918,                  1.087,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.4567,                  0.685,                  1.052,                0.94762,                0.90301,                0.94256,                0.45271,                 1.7024,                0.75912,                   1.12,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.4327,                0.66262,                 1.0525,                0.93989,                0.88459,                0.93823,                0.47178,                 1.6422,                 0.7556,                 1.0951,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.4278,                0.68558,                 1.0557,                0.95745,                0.89863,                0.94749,                0.48205,                 1.6691,                0.74132,                 1.0916,               0.001604,               0.001604,               0.001604
                     43,                 1.4303,                0.67189,                 1.0309,                0.94419,                0.90076,                0.93944,                0.44871,                 1.6616,                0.72543,                  1.099,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.4053,                0.66542,                 1.0394,                0.94455,                0.87858,                0.92957,                0.46048,                 1.7152,                0.78943,                 1.1228,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.4103,                0.66615,                 1.0464,                0.91905,                0.80865,                0.86912,                0.40017,                 1.7596,                0.83988,                 1.1268,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.4061,                0.67046,                 1.0398,                0.95612,                0.86356,                0.93021,                0.46086,                 1.6777,                0.78589,                 1.1195,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.4002,                0.65895,                 1.0358,                0.94397,                0.89703,                0.93606,                0.47097,                 1.6487,                0.74717,                 1.0984,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.3882,                0.63974,                 1.0285,                 0.9574,                0.86522,                 0.9474,                 0.4739,                 1.6532,                0.72851,                 1.0987,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.3842,                0.64892,                 1.0331,                0.92736,                0.88519,                0.93352,                0.44872,                 1.6966,                0.75519,                  1.122,              0.0015347,              0.0015347,              0.0015347
