                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5451,                 1.0082,                0.96644,                      1,                0.62956,                0.72369,                0.34635,                 1.3797,                 1.2657,                0.82305,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.5234,                 1.0458,                0.94468,                0.71858,                0.63158,                0.65759,                  0.311,                 1.4672,                 1.6494,                0.86208,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.4686,                 1.0061,                0.93936,                0.82382,                    0.5,                0.61525,                0.27665,                 1.6644,                 1.5292,                0.91238,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.5263,                0.97771,                0.95607,                0.74877,                0.73684,                0.72641,                0.34144,                 1.4484,                 1.2397,                0.84953,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.4561,                0.90606,                0.93779,                0.85538,                0.62279,                0.69297,                0.35923,                 1.3372,                 1.3428,                0.82546,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.5149,                0.94419,                0.96377,                0.93035,                0.70318,                0.74861,                0.37745,                 1.4231,                 1.0232,                0.83642,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.4637,                0.94813,                0.94587,                0.89876,                0.71053,                 0.7494,                0.37073,                 1.4342,                 1.1485,                0.82903,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.4547,                 0.9267,                0.92757,                0.98273,                0.63158,                0.70362,                0.35894,                 1.3491,                 1.1399,                0.84087,               0.001604,               0.001604,               0.001604
                     43,                 1.4385,                0.84453,                0.94324,                      1,                0.57329,                0.68709,                0.34956,                 1.3664,                 1.4455,                0.83094,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.4671,                0.91442,                0.93443,                      1,                0.66073,                0.76979,                0.35946,                 1.4948,                 1.1706,                0.85352,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.4333,                0.83333,                0.94487,                0.92425,                0.57895,                0.68859,                0.34267,                 1.3132,                 1.3385,                0.82426,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.4796,                0.93647,                 0.9562,                0.95798,                0.60009,                0.65764,                0.30519,                 1.3475,                 1.5297,                0.81105,              0.0015644,              0.0015644,              0.0015644
