                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5294,                0.89593,                 1.1827,                0.92354,                0.77467,                0.86921,                 0.4779,                 1.5545,                0.94085,                 1.2164,              0.0033273,              0.0033273,              0.0033273
                      2,                  1.504,                0.87899,                 1.1778,                0.88744,                0.84751,                0.90344,                0.49518,                 1.5108,                0.85684,                 1.2003,              0.0066277,              0.0066277,              0.0066277
                      3,                 1.5103,                0.90968,                 1.1778,                 0.8573,                0.75437,                0.83368,                 0.4526,                 1.5482,                 1.0468,                 1.2329,               0.009895,               0.009895,               0.009895
                      4,                  1.517,                0.88308,                 1.1919,                0.94664,                0.84011,                0.92368,                0.50495,                 1.5178,                 0.8041,                 1.2137,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5081,                0.84631,                  1.176,                0.94767,                0.86269,                0.93741,                0.48961,                 1.5261,                0.80329,                 1.2108,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.4969,                0.84203,                 1.1804,                0.90301,                0.82424,                0.90563,                0.48125,                 1.5536,                0.85513,                 1.2255,               0.009802,               0.009802,               0.009802
                      7,                 1.4775,                0.80519,                 1.1688,                0.93549,                0.85727,                0.93049,                0.50692,                 1.5231,                 0.7714,                 1.2018,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.4808,                 0.7949,                  1.174,                0.93667,                0.87624,                 0.9356,                0.50066,                 1.5082,                0.76446,                  1.204,               0.009703,               0.009703,               0.009703
                      9,                  1.462,                0.78455,                 1.1638,                0.93779,                0.84428,                0.92473,                0.50502,                 1.5356,                0.78154,                 1.2132,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.4613,                0.77215,                 1.1681,                0.95417,                0.88618,                0.94276,                0.52443,                 1.4998,                0.73626,                 1.2021,               0.009604,               0.009604,               0.009604
                     11,                 1.4577,                0.75158,                  1.158,                0.94092,                0.89431,                0.93668,                0.49237,                 1.5056,                0.78577,                 1.1947,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.4452,                0.74012,                 1.1533,                0.95601,                 0.9031,                0.95619,                0.53221,                 1.4907,                0.73652,                 1.1891,               0.009505,               0.009505,               0.009505
                     13,                 1.4411,                 0.7443,                 1.1539,                0.93774,                0.89792,                 0.9467,                0.52279,                 1.5096,                0.72319,                 1.1906,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4166,                0.71403,                 1.1372,                0.95233,                0.90232,                0.94747,                0.51387,                 1.5283,                0.72887,                 1.2053,               0.009406,               0.009406,               0.009406
                     15,                 1.4305,                0.71616,                  1.144,                0.94511,                0.91766,                  0.957,                0.53388,                   1.49,                  0.713,                 1.1974,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4246,                0.70937,                 1.1494,                0.96058,                0.90259,                 0.9574,                0.52834,                 1.5027,                0.69323,                 1.2007,               0.009307,               0.009307,               0.009307
                     17,                 1.4066,                0.69513,                 1.1314,                0.93855,                0.92141,                0.96056,                0.54564,                 1.4758,                0.71046,                 1.1835,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.4106,                0.70185,                 1.1451,                0.95552,                0.87082,                0.95354,                0.53604,                 1.5037,                0.73192,                 1.1902,               0.009208,               0.009208,               0.009208
                     19,                 1.3853,                0.69088,                 1.1285,                 0.9484,                0.88979,                0.94286,                0.50813,                 1.5245,                0.71635,                 1.2005,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.4013,                 0.6876,                 1.1377,                0.95702,                0.90507,                0.95973,                0.53721,                 1.4945,                0.69529,                 1.1916,               0.009109,               0.009109,               0.009109
                     21,                 1.3783,                0.66449,                 1.1315,                 0.9423,                0.89521,                 0.9455,                0.52435,                 1.5067,                0.69764,                 1.1938,              0.0090595,              0.0090595,              0.0090595
