                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2082,                0.56802,                0.92202,                0.93303,                 0.8701,                0.93463,                 0.5123,                 1.4997,                0.61695,                 1.0329,               0.008317,               0.008317,               0.008317
                     37,                 1.2086,                0.56882,                0.91488,                0.92667,                0.87826,                 0.9412,                0.50767,                 1.4872,                0.60546,                 1.0219,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2152,                0.57628,                0.91078,                0.93318,                0.88933,                0.94565,                0.51922,                 1.4806,                  0.603,                 1.0276,               0.008218,               0.008218,               0.008218
                     39,                 1.1811,                0.55305,                0.90706,                0.95296,                0.89676,                0.95541,                0.53324,                 1.4491,                0.58089,                 1.0209,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.2016,                0.56705,                0.91367,                0.93442,                0.90114,                0.95483,                 0.5314,                 1.4706,                0.59013,                 1.0254,               0.008119,               0.008119,               0.008119
                     41,                 1.1928,                0.55384,                0.91006,                0.92995,                0.90356,                0.94882,                0.53044,                 1.4576,                0.60122,                 1.0244,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.1833,                0.55228,                0.91694,                0.90733,                0.90672,                0.94107,                0.51827,                 1.4816,                0.60328,                 1.0265,                0.00802,                0.00802,                0.00802
                     43,                 1.1794,                0.55216,                0.91451,                 0.9317,                0.88933,                0.94851,                0.52833,                 1.4581,                0.59031,                 1.0196,              0.0079705,              0.0079705,              0.0079705
                     44,                  1.179,                0.54873,                0.90106,                0.92666,                0.88891,                0.94199,                0.52335,                 1.4974,                0.60236,                 1.0328,               0.007921,               0.007921,               0.007921
                     45,                 1.1664,                0.54866,                0.90553,                0.93434,                0.89644,                0.94659,                0.52013,                 1.4501,                0.58223,                 1.0178,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.1634,                 0.5455,                0.90438,                0.93633,                0.89519,                0.95034,                0.53075,                 1.4668,                0.59414,                 1.0284,               0.007822,               0.007822,               0.007822
                     47,                 1.1758,                0.54739,                0.90877,                0.93843,                0.87961,                0.94242,                0.52196,                 1.4858,                 0.5978,                 1.0332,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.1473,                0.53085,                0.91145,                0.95499,                0.88221,                0.94988,                0.52926,                 1.4692,                0.58658,                 1.0231,               0.007723,               0.007723,               0.007723
                     49,                 1.1683,                0.54278,                0.90993,                0.94099,                0.86798,                0.94055,                 0.5279,                 1.4771,                0.59765,                 1.0291,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.1539,                0.53756,                0.89474,                0.94502,                0.89881,                 0.9481,                0.53157,                 1.4749,                0.58679,                 1.0245,               0.007624,               0.007624,               0.007624
                     51,                  1.145,                0.53882,                0.89255,                0.93368,                0.91257,                0.95838,                0.53332,                 1.4742,                0.58874,                 1.0315,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.1426,                0.52937,                0.91169,                0.93722,                0.88142,                0.94803,                0.53278,                 1.4654,                0.58366,                 1.0175,               0.007525,               0.007525,               0.007525
                     53,                 1.1412,                0.52596,                0.89672,                0.90599,                0.89723,                0.94786,                  0.538,                 1.4699,                0.59223,                 1.0255,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.1269,                0.51989,                0.90095,                0.94008,                0.88063,                0.95069,                0.53439,                 1.4481,                 0.5767,                   1.01,               0.007426,               0.007426,               0.007426
                     55,                  1.124,                0.52154,                0.89208,                0.93893,                0.89944,                0.94629,                0.53477,                 1.4566,                0.57587,                  1.019,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.1263,                0.51966,                0.89958,                0.93202,                0.88869,                0.94995,                0.53041,                 1.4613,                0.57903,                 1.0126,               0.007327,               0.007327,               0.007327
